wall_time,step,value
1779418019.7959785,1,12.75
1779418046.5897927,10,9.375
1779418076.4123697,20,6.4375
1779418134.7316303,30,5.5625
1779418164.8671904,40,5.03125
1779418195.031222,50,4.25
1779418253.164621,60,3.8125
1779418283.365309,70,4.53125
1779418342.059861,80,4.5625
1779418372.376572,90,4.65625
1779418402.9005105,100,4.40625
1779418498.1666014,110,4.1875
1779418528.4322743,120,4.625
1779418587.2465184,130,3.90625
1779418617.3326173,140,3.984375
1779418647.2760475,150,5.6875
1779418705.767199,160,3.65625
1779418735.8285565,170,3.828125
1779418794.2830763,180,7.1875
1779418824.198927,190,3.921875
1779418854.4192073,200,4.1875
1779418949.319272,210,6.65625
1779418980.17959,220,4.1875
1779419038.402639,230,4.90625
1779419068.740909,240,3.703125
1779419098.768814,250,4.15625
1779419157.5128238,260,3.828125
1779419188.0451515,270,4.21875
1779419246.7108147,280,6.1875
1779419276.93691,290,4.0
1779419307.2478018,300,3.953125
