wall_time,step,value
1779418019.7959979,1,0.0
1779418046.58984,10,9.000000318337698e-06
1779418076.4123855,20,9.976417459256481e-06
1779418134.7316465,30,9.895181392494123e-06
1779418164.8672054,40,9.756948202266358e-06
1779418195.0312371,50,9.563325875205919e-06
1779418253.1646354,60,9.316569048678502e-06
1779418283.365324,70,9.01955172594171e-06
1779418342.0598757,80,8.675731805851683e-06
1779418372.3765862,90,8.289112884085625e-06
1779418402.900526,100,7.864196049922612e-06
1779418498.1666162,110,7.405929864034988e-06
1779418528.4322898,120,6.919649422343355e-06
1779418587.2465339,130,6.411016784113599e-06
1779418617.3326323,140,5.885955033591017e-06
1779418647.2760627,150,5.350577339413576e-06
1779418705.7672133,160,4.811117378267227e-06
1779418735.8285708,170,4.2738570300571155e-06
1779418794.2830977,180,3.7450517993420362e-06
1779418824.1989477,190,3.230858510505641e-06
1779418854.4192219,200,2.7372648219170514e-06
1779418949.3192909,210,2.270017830596771e-06
1779418980.1796045,220,1.83455790647713e-06
1779419038.4026535,230,1.4359554825205123e-06
1779419068.7409241,240,1.078851823876903e-06
1779419098.768829,250,7.674049697925511e-07
1779419157.5128384,260,5.05241303017101e-07
1779419188.045166,270,2.954133435650874e-07
1779419246.7108293,280,1.403642784225667e-07
1779419276.9369252,290,4.189949365240864e-08
1779419307.2478166,300,1.1654587295240049e-09
