step,reward,seq_len_tokens,rollout_time_s,loss,entropy,mismatch_kl,grad_norm,lr,train_time_s,peak_mem_gib
0,3.9062,5735.8,42.42,0.4497,0.0196,0.0001,6.75,2e-07,82.33,20.1
1,2.4688,5124.0,102.16,1.246,0.0086,0.0001,5.0625,2e-07,80.44,21.3
2,2.125,5714.5,38.77,0.4544,0.0156,0.0001,6.5938,2e-07,27.54,21.3
3,-0.6562,4814.6,71.12,0.3204,0.0097,0.0001,1.6172,2e-07,55.5,21.3
4,-3.125,5214.2,60.22,0.0031,0.0066,0.0,0.2002,2e-07,42.82,21.3
5,3.8438,5824.0,42.91,0.5835,0.0199,0.0001,6.25,2e-07,34.82,21.7
6,-2.2812,5132.9,71.04,-0.0141,0.0081,0.0001,0.2598,2e-07,52.75,21.7
7,1.9688,6641.1,53.55,0.145,0.0203,0.0001,4.9062,2e-07,45.25,21.7
8,-2.625,5342.0,67.43,-0.0345,0.0099,0.0001,0.7344,2e-07,51.65,21.7
9,-3.1875,8100.1,48.29,0.0004,0.0164,0.0004,0.2539,2e-07,41.21,21.7
10,-3.0938,5750.6,51.31,-0.0023,0.007,0.0001,0.1973,2e-07,34.55,21.7
11,-0.5312,4945.8,62.66,0.1881,0.0084,0.0001,2.9688,2e-07,55.4,21.7
12,-3.0938,8167.1,60.34,-0.0075,0.0153,0.0001,0.3711,2e-07,47.73,21.7
13,-3.125,8192.0,80.81,0.009,0.0109,0.0001,0.2871,2e-07,65.21,21.7
14,-3.1875,8111.2,39.55,-0.0021,0.0129,0.0001,0.3047,2e-07,26.59,21.7
15,3.6562,6054.2,37.91,0.4439,0.0198,0.0001,6.875,2e-07,26.61,21.7
16,-3.2188,8108.1,45.07,0.0003,0.017,0.0001,0.165,2e-07,31.3,21.7
17,-2.9688,8192.0,52.38,-0.0023,0.0119,0.0003,1.0312,2e-07,36.01,21.7
18,1.9062,6209.1,42.58,0.3761,0.0288,0.0001,8.5,2e-07,33.17,21.7
19,-2.125,5505.5,68.33,-0.004,0.0067,0.0002,0.793,2e-07,48.65,21.7
20,-3.2188,8080.5,43.4,0.0003,0.0167,0.0001,0.3008,2e-07,34.32,21.7
21,-3.0312,8192.0,63.34,-0.0029,0.0094,0.0001,0.2617,2e-07,46.74,21.7
22,-2.0938,5339.0,64.39,-0.0066,0.0069,0.0001,0.1187,2e-07,46.8,21.7
23,-3.1562,8192.0,56.2,0.0008,0.0099,0.0004,1.0156,2e-07,46.18,21.7
24,-3.0938,4986.0,49.43,-0.0014,0.0059,0.0001,0.123,2e-07,32.43,21.7
25,-3.2188,5339.0,63.13,0.0013,0.0054,0.0001,0.1147,2e-07,7.06,21.7
26,2.0625,6226.9,47.59,,,,,,,
