step,time_s,reward,seq_len_tokens
0,89.40,8.1521,2222.5
1,4.72,4.9854,3333.3
2,39.09,12.1625,1790.2
3,72.13,11.9958,2466.8
4,46.58,5.7458,3492.2
5,30.59,14.2458,2076.2
6,68.18,1.6729,3613.8
7,53.34,-1.5458,3945.3
8,25.06,13.7250,1655.5
9,37.51,7.4333,3656.5
10,61.73,11.4438,2227.3
11,33.82,-2.2021,3560.7
12,23.24,11.4125,1799.2
13,67.63,6.1313,2836.5
14,41.02,-1.1604,3496.2
15,33.22,8.9750,2134.6
16,50.16,1.8708,2704.9
17,34.19,14.5063,2542.5
18,48.53,4.8813,2760.5
19,48.43,11.5063,2765.9
20,14.34,10.2042,2549.3
21,41.59,14.7354,2120.9
22,40.70,12.9438,1711.8
23,50.22,5.7458,3251.2
24,31.70,8.1521,2886.2
25,63.27,11.5792,3254.0
26,12.85,6.9958,2670.9
27,74.04,-0.3271,3778.0
28,105.24,0.6625,4391.4
29,55.05,8.1833,2794.2
30,44.44,6.2354,2905.0
31,44.11,-0.1188,3611.5
32,25.03,11.4125,2267.0
33,42.66,10.9854,3145.7
34,55.05,12.2563,2786.2
35,21.70,11.4958,2253.7
36,59.52,13.5792,3122.9
37,57.07,4.1729,4207.3
38,40.03,6.7563,3480.1
39,61.02,7.9229,2916.2
40,37.12,9.4203,2865.3
41,77.50,5.1208,3569.6
42,41.68,7.4333,3109.6
43,67.04,-1.2958,3989.4
44,26.42,10.6938,2725.0
45,51.20,13.7875,3193.6
46,22.25,-4.6500,3786.9
47,36.63,10.6104,1592.4
48,53.03,5.4333,3275.7
49,59.45,14.5583,2346.0
50,43.56,6.1417,3206.8
