step avg min max pos posfake no_call fake tools zero len
0 1.9158 -1.25 3.01 38 0 1 9 47 8 1058
1 2.0255 -1.25 3.07 35 0 1 12 47 4 1079
2 2.2149 -1.25 3.11 39 0 2 8 47 4 1121
3 1.762 -1.25 3.11 34 0 6 10 44 0 1148
4 2.05 -1.25 3.07 38 0 2 5 43 4 1160
5 2.0768 -1.25 3.11 39 0 1 6 46 4 1182
6 1.6875 -1.25 3.02 34 0 3 11 49 0 1230
7 2.1681 -1.25 3.07 39 0 4 4 44 8 1156
8 2.225 -1.25 3.07 41 0 1 3 44 4 1199
9 1.421 -1.25 3.05 30 0 3 10 43 0 1236
10 1.3741 -1.25 3.11 28 0 7 15 46 0 1337
11 1.8457 -1.25 3.11 35 0 1 8 43 0 1247
12 2.1823 -1.25 3.11 42 0 2 4 48 4 1262
13 1.3992 -1.25 3.01 28 0 4 16 51 0 1283
14 2.1811 -1.25 3.11 38 0 6 6 47 4 1219
15 1.9743 -1.25 3.01 41 0 5 4 48 4 1259
16 1.6657 -1.25 3.11 35 0 3 11 51 4 1244
17 1.9019 -1.25 3.07 35 0 10 8 48 0 1281
18 1.2538 -1.25 3.01 30 0 5 11 42 0 1209
19 1.6896 -1.25 3.11 34 0 7 10 48 0 1337
20 2.2318 -1.25 3.01 39 0 2 8 51 0 1242
21 1.0722 -1.25 3.01 25 0 8 16 47 0 1196
22 1.9954 -1.25 3.11 37 0 1 7 44 8 1250
23 2.0227 -1.25 3.11 40 0 5 3 46 4 1121
24 1.919 -1.25 3.11 37 0 3 6 44 8 1250
25 2.0504 -1.25 3.11 40 0 3 6 45 4 1186
26 2.0646 -1.25 3.01 38 0 6 8 48 4 1215
27 1.7764 -1.25 3.11 35 0 4 9 45 4 1220
28 2.1834 -1.25 3.11 38 0 3 6 44 0 1197
29 1.8336 -1.25 3.01 35 0 3 11 48 4 1253
30 1.9413 -1.25 3.07 39 0 2 8 47 0 1275
31 1.7501 -1.25 3.11 34 0 3 11 45 4 1318
32 1.8193 -1.25 3.11 35 0 3 12 49 4 1353
33 2.1308 -1.25 3.01 37 0 1 9 46 16 1230
34 1.8773 -1.25 3.11 37 0 4 6 45 0 1364
summary latest10 avg_reward 1.9427 avg_pos 36.8 avg_no_call 3.2 avg_fake 8.6 avg_tools 46.2 avg_len 1261
