step avg min max pos posfake no_call fake tools zero len
25 1.5271 -2.0 3.01 35 0 2 9 44 0 1175
26 2.1768 -2.0 3.11 41 0 5 5 46 4 1339
27 1.1362 -2.0 3.07 32 0 6 9 41 0 1138
28 1.8916 -2.0 3.06 38 0 2 9 48 4 1229
29 1.3567 -2.0 3.11 33 0 6 9 43 4 1364
30 1.4784 -2.0 3.07 34 0 4 10 48 8 1243
31 1.452 -2.0 3.11 34 0 6 6 41 8 1161
32 0.8305 -2.0 3.01 29 0 3 17 50 0 1194
33 1.5613 -2.0 3.07 36 0 7 8 45 0 1311
34 1.7285 -2.0 3.01 38 0 5 7 45 4 1177
35 1.8997 -2.0 3.07 40 0 2 7 57 12 1398
36 1.1753 -2.0 3.07 30 0 3 13 50 0 1349
37 1.8999 -2.0 3.11 41 0 1 7 50 4 1341
38 1.7039 -2.0 3.07 37 0 3 7 45 4 1279
39 1.6758 -2.0 3.01 36 0 3 6 43 8 1375
40 1.7132 -2.0 3.01 36 0 5 7 43 4 1146
41 1.7232 -2.0 3.11 36 0 1 7 46 0 1298
42 1.4059 -2.0 3.01 36 0 3 10 49 4 1251
43 1.5229 -2.0 3.11 36 0 2 9 50 0 1317
44 1.5497 -2.0 3.07 35 0 3 9 44 0 1165
45 1.6964 -2.0 3.11 37 0 5 7 46 4 1167
46 1.5555 -2.0 3.11 36 0 4 6 44 0 1400
47 1.6479 -2.0 3.01 37 0 3 6 45 4 1356
48 1.7801 -2.0 3.11 37 0 3 8 45 4 1132
49 1.8279 -2.0 3.01 40 0 1 6 46 4 1238
summary latest10 avg_reward 1.6423 avg_pos 36.6 avg_no_call 3 avg_fake 7.5 avg_tools 45.8 avg_len 1247
